epoch,accuracy,loss,val_accuracy,val_loss
0,0.904411792755127,2.77083683013916,1.0,3.1069923522863974e-08
1,0.998161792755127,0.222780242562294,1.0,4.450020441026936e-08
2,0.998161792755127,0.4400268793106079,1.0,1.1831637891646096e-08
3,0.9963235259056091,0.006439104676246643,1.0,3.2681037964721327e-07
4,0.9963235259056091,0.009788155555725098,1.0,2.4677649435034255e-07
5,0.9944853186607361,0.6067913770675659,1.0,3.92905903368046e-08
6,0.9944853186607361,0.25984999537467957,1.0,6.436333706005826e-07
7,0.998161792755127,0.007303793448954821,1.0,5.680568619936821e-07
8,1.0,0.0004358808510005474,1.0,5.673273903994414e-07
9,0.998161792755127,0.030166752636432648,1.0,6.530758867029363e-08
10,0.998161792755127,0.00898558646440506,1.0,1.0906457958981264e-07
11,1.0,8.400717342738062e-05,1.0,3.879257448602402e-08
12,0.9963235259056091,0.15178051590919495,1.0,8.366332622244954e-07
13,0.9963235259056091,0.20704486966133118,1.0,9.319312255229306e-08
14,0.9963235259056091,0.08542085438966751,1.0,1.988650133455394e-08
15,0.998161792755127,0.046810805797576904,1.0,2.337693416620823e-08
16,1.0,0.0008092010393738747,1.0,2.4163039569202738e-08
17,0.998161792755127,0.020075423642992973,1.0,2.6621906457080513e-08
18,1.0,0.001563641824759543,1.0,5.049978923921117e-08
19,1.0,0.0011102866847068071,1.0,6.515436012932696e-08
20,1.0,0.0002052584895864129,1.0,3.238943335759359e-08
21,0.998161792755127,0.008982272818684578,1.0,4.783215956649656e-08
22,1.0,0.00011666616046568379,1.0,1.0139666528630187e-07
23,0.9963235259056091,0.07018589228391647,1.0,1.3309508162251404e-08
24,1.0,2.7033083824790083e-05,1.0,1.0463471200594654e-09
25,0.9981818199157715,0.2919793725013733,1.0,8.084663249974255e-08
26,0.9963235259056091,0.42684879899024963,1.0,6.932765472811298e-07
27,0.9963235259056091,0.10190516710281372,1.0,2.0630464803161885e-07
28,1.0,0.0005287873209454119,1.0,1.2948787286859442e-07
29,1.0,0.004224494099617004,1.0,1.5870632807946095e-07
